yyyy,mo,dd,hh,mm,WT_E,WT_N,WT_W,WT_S
2010,5,13,17,0,-0.21284545,-999,-0.222153207,-0.13991657
2010,5,13,18,0,-0.212332164,-999,-0.222396573,-0.140065277
2010,5,13,19,0,-0.212291913,-999,-0.222782536,-0.140025922
2010,5,13,20,0,-0.21239357,-999,-0.222930829,-0.140127612
2010,5,13,21,0,-0.212258715,-999,-0.223221718,-0.139853188
2010,5,13,22,0,-0.183175201,-999,-0.214909191,-0.109960141
2010,5,13,23,0,-0.172634245,-999,-0.188486936,-0.090034364
2010,5,14,0,0,-0.16975621,-999,-0.181363035,-0.090272903
2010,5,14,1,0,-0.168013433,-999,-0.180656014,-0.090379509
2010,5,14,2,0,-0.166838286,-999,-0.180566911,-0.090340522
2010,5,14,3,0,-0.166183455,-999,-0.18052534,-0.090301537
2010,5,14,4,0,-0.165859733,-999,-0.180436239,-0.090262552
2010,5,14,5,0,-0.165819811,-999,-0.180537261,-0.090176556
2010,5,14,6,0,-0.165827189,-999,-0.180923464,-0.090137573
2010,5,14,7,0,-0.165645373,-999,-0.181880021,-0.090427664
2010,5,14,8,0,-0.165747349,-999,-0.183074215,-0.091187854
2010,5,14,9,0,-0.166180411,-999,-0.184078276,-0.091995043
2010,5,14,10,0,-0.166140489,-999,-0.18527244,-0.092849229
2010,5,14,11,0,-0.166289757,-999,-0.186038831,-0.093703403
2010,5,14,12,0,-0.166675509,-999,-0.186947798,-0.094980645
2010,5,14,13,0,-0.16729774,-999,-0.188759788,-0.096257867
2010,5,14,14,0,-0.16900778,-999,-0.190381644,-0.09781712
2010,5,14,15,0,-0.170670499,-999,-0.191765841,-0.099282335
2010,5,14,16,0,-0.171671055,-999,-0.193292603,-0.100653513
2010,5,14,17,0,-0.172577006,-999,-0.194676765,-0.101930657
2010,5,14,18,0,-0.173435649,-999,-0.195918329,-0.103160776
2010,5,14,19,0,-0.17448346,-999,-0.197017299,-0.10434387
2010,5,14,20,0,-0.175105606,-999,-0.197831098,-0.105432935
2010,5,14,21,0,-0.175680449,-999,-0.198692413,-0.106333961
2010,5,14,22,0,-0.175687759,-999,-0.199221039,-0.107093957
2010,5,14,23,0,-0.175742362,-999,-0.199512033,-0.107806937
2010,5,15,0,0,-0.175465913,-999,-0.199803023,-0.108001359
2010,5,15,1,0,-0.175615103,-999,-0.199951436,-0.10862181
2010,5,15,2,0,-0.175527829,-999,-0.200194895,-0.108958732
2010,5,15,3,0,-0.175487848,-999,-0.200485876,-0.109295648
2010,5,15,4,0,-0.175684327,-999,-0.200776853,-0.109679564
2010,5,15,5,0,-0.175880803,-999,-0.201210396,-0.110251485
2010,5,15,6,0,-0.176077276,-999,-0.20173898,-0.110917404
2010,5,15,7,0,-0.176888527,-999,-0.202410125,-0.11172432
2010,5,15,8,0,-0.177652476,-999,-0.203128785,-0.112719232
2010,5,15,9,0,-0.178038094,-999,-0.204037524,-0.113902136
2010,5,15,10,0,-0.179274923,-999,-0.205088817,-0.115414031
2010,5,15,11,0,-0.180700892,-999,-0.206425226,-0.117113909
2010,5,15,12,0,-0.181795818,-999,-0.207999224,-0.118860761
2010,5,15,13,0,-0.183505482,-999,-0.209240556,-0.120654589
2010,5,15,14,0,-0.18469495,-999,-0.210624434,-0.12254239
2010,5,15,15,0,-0.185978977,-999,-0.212055815,-0.124430163
2010,5,15,16,0,-0.186884684,-999,-0.213297098,-0.126176912
