yyyy,mo,dd,hh,mm,period,start_date,ICOS_precip,I_av_mm,I_CI_min_mm,I_CI_max_mm,I_SE_min_mm,I_SE_max_mm
2016,7,31,4,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,5,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,5,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,6,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,6,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,7,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,7,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,8,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,8,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,9,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,9,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,10,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,10,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,11,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,11,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,12,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,12,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,13,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,13,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,14,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,14,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,15,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,15,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,16,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,16,30,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,17,0,14,29.7.2016 15:00,0,0,0,0,0,0
2016,7,31,17,30,14,29.7.2016 15:00,0,0,0,0,0,0
