yyyy,mo,dd,hh,mm,SH,SH_flag,SH_gapfilled,SH_gapfilled_flag,LE,LE_flag,LE_gapfilled,LE_gapfilled_flag,NEE,NEE_flag,NEE_gapfilled,NEE_gapfilled_flag
2014,1,2,20,0,-2.4651,0,-2.46508,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,20,30,-1.3425,0,-1.342503,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,21,0,-2.5079,0,-2.50786,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,21,30,-0.27393,0,-0.27393,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,22,0,15.388,0,15.388494,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,22,30,-16.067,0,-16.066647,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,23,0,2.627,0,2.62698,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,2,23,30,-2.7429,0,-2.7428790000000003,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,0,0,6.5031,0,6.503133,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,0,30,-0.035269999999999996,0,-0.035269999999999996,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,1,0,NaN,1,-3.51654,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,1,30,NaN,1,-3.51654,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,2,0,12.565,0,12.564667,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,2,30,43.419,0,43.418884000000006,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,3,0,9.4038,0,9.40375,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,3,30,-6.1358,0,-6.135756,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,4,0,-5.7818,0,-5.781765,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,4,30,-23.545,0,-23.544729,0,NaN,1,NaN,1,NaN,1,NaN,1
2014,1,3,5,0,-1.7333,0,-1.733286,0,NaN,1,NaN,1,NaN,1,NaN,1
